 11.218750   0.346250          0   8.000000  14.437500
 17.656250   0.157500          0  14.437500  20.875000
 24.093750   0.081875          0  20.875000  27.312500
 30.531250   0.060000          0  27.312500  33.750000
 36.968750   0.021875          0  33.750000  40.187500
 43.406250   0.024375          0  40.187500  46.625000
 49.843750   0.024375          0  46.625000  53.062500
 56.281250   0.005000          0  53.062500  59.500000
 62.718750   0.001250          0  59.500000  65.937500
 69.156250   0.023750          0  65.937500  72.375000
 75.593750   0.084375          0  72.375000  78.812500
 82.031250   0.050000          0  78.812500  85.250000
 88.468750   0.020625          0  85.250000  91.687500
 94.906250   0.040625          0  91.687500  98.125000
101.343750   0.010000          0  98.125000 104.562500
107.781250   0.048125          0 104.562500 111.000000
